step,status,process,source,table_name,etl_date,error_msg
extract_csv,success,extraction,csv,new_bank_transaction.csv,2025-04-08 16:09:17.071574,
extract_db,success,extraction,source_db,marital_status,2025-04-08 16:09:23.277302,
extract_db,success,extraction,source_db,education_status,2025-04-08 16:09:24.410587,
extract_db,success,extraction,source_db,marketing_campaign_deposit,2025-04-08 16:09:25.461830,
Transform_Data,success,Transform,csv,customers,2025-04-08 16:09:12.999660,
Transform_Data,success,Transform,csv,transactions,2025-04-08 16:09:12.999660,
Transform_Data,success,Transform,database,marital_status,2025-04-08 16:09:12.999660,
Transform_Data,success,Transform,database,education_status,2025-04-08 16:09:12.999660,
Transform_Data,success,Transform,database,marketing_campaign_deposit,2025-04-08 16:09:12.999660,
Load_DB,success,Load,source_db,customers,2025-04-08 16:09:47.156728,
Load_DB,success,Load,source_db,transactions,2025-04-08 16:09:55.002616,
Load_DB,success,Load,source_db,marital_status,2025-04-08 16:10:05.202045,
Load_DB,success,Load,source_db,education_status,2025-04-08 16:10:06.165892,
Load_DB,success,Load,source_db,marketing_campaign_deposit,2025-04-08 16:10:07.108112,
